id;width;height;num_agents;obstacle_ratio;conglomeration_ratio;agent_path_length;max_length;agent_generator;h;seed;status;solution_length;solution_cost;closed_states;inserted_states;waits;grid_gen_time;agents_gen_time;resolution_time;process_time;memory
1;10;10;0;0;0;10;10;random;dijkstra;42;success;1;1.4142;1;1;0;0.0018;0.0019;0.0;0.35;98708
2;10;10;0;0;0;10;10;random;diagonal;42;success;1;1.4142;2;10;0;0.0018;0.0019;0.0;0.31;100224
3;10;10;0;0.25;0;10;10;random;dijkstra;42;success;6;8.0711;1;1;0;0.0018;0.0018;0.0;0.33;100612
4;10;10;0;0.25;0;10;10;random;diagonal;42;success;6;8.0711;10;53;0;0.0018;0.0019;0.0002;0.31;100072
5;10;10;0;0.25;0.25;10;10;random;dijkstra;42;success;5;5.8284;1;1;0;0.0029;0.0029;0.0;0.33;98256
6;10;10;0;0.25;0.25;10;10;random;diagonal;42;success;5;5.8284;8;30;0;0.0017;0.0017;0.0001;0.31;98532
7;10;10;0;0.25;0.5;10;10;random;dijkstra;42;success;2;2;1;1;0;0.0017;0.0017;0.0;0.32;100572
8;10;10;0;0.25;0.5;10;10;random;diagonal;42;success;2;2;3;12;0;0.0018;0.0018;0.0;0.33;100768
9;10;10;0;0.25;0.75;10;10;random;dijkstra;42;success;3;3;1;1;0;0.0017;0.0017;0.0;0.32;100564
10;10;10;0;0.25;0.75;10;10;random;diagonal;42;success;3;3;4;18;0;0.0017;0.0018;0.0001;0.40;100512
11;10;10;0;0.25;1;10;10;random;dijkstra;42;success;2;2.8284;1;1;0;0.0017;0.0017;0.0;0.32;100428
12;10;10;0;0.25;1;10;10;random;diagonal;42;success;2;2.8284;3;16;0;0.0017;0.0017;0.0;0.35;98356
13;10;10;0;0.5;0;10;10;random;dijkstra;42;success;1;1.4142;1;1;0;0.0018;0.0018;0.0;0.31;100464
14;10;10;0;0.5;0;10;10;random;diagonal;42;success;1;1.4142;2;9;0;0.0018;0.0018;0.0;0.34;100852
15;10;10;0;0.5;0.25;10;10;random;dijkstra;42;success;5;6.2426;1;1;0;0.0016;0.0017;0.0;0.31;100592
16;10;10;0;0.5;0.25;10;10;random;diagonal;42;success;5;6.2426;7;25;0;0.0017;0.0017;0.0001;0.35;100760
17;10;10;0;0.5;0.5;10;10;random;dijkstra;42;failure;0;0;223;223;0;0.0015;0.0016;0.0021;0.31;100656
18;10;10;0;0.5;0.5;10;10;random;diagonal;42;failure;0;0;223;223;0;0.0024;0.0025;0.0038;0.34;100500
19;10;10;0;0.5;0.5;10;25;random;dijkstra;42;failure;0;0;718;718;0;0.0015;0.0016;0.0105;0.33;100824
20;10;10;0;0.5;0.5;10;25;random;diagonal;42;failure;0;0;718;718;0;0.0015;0.0016;0.0105;0.32;100584
21;10;10;0;0.5;0.75;10;10;random;dijkstra;42;success;2;2;1;1;0;0.0016;0.0016;0.0;0.34;100208
22;10;10;0;0.5;0.75;10;10;random;diagonal;42;success;2;2;3;18;0;0.0016;0.0017;0.0001;0.31;98192
23;10;10;0;0.5;1;10;10;random;dijkstra;42;success;4;4;1;1;0;0.0016;0.0016;0.0;0.31;100336
24;10;10;0;0.5;1;10;10;random;diagonal;42;success;4;4;5;37;0;0.0016;0.0017;0.0001;0.34;100740
25;10;10;0;0.75;0;10;10;random;dijkstra;42;failure;0;0;62;62;0;0.0018;0.0019;0.0004;0.33;100448
26;10;10;0;0.75;0;10;10;random;diagonal;42;failure;0;0;62;62;0;0.0018;0.0019;0.0004;0.31;100656
27;10;10;0;0.75;0.25;10;10;random;dijkstra;42;success;0;0;1;1;0;0.0017;0.0017;0.0;0.31;100528
28;10;10;0;0.75;0.25;10;10;random;diagonal;42;success;0;0;1;1;0;0.0017;0.0018;0.0;0.30;100708
29;10;10;0;0.75;0.5;10;10;random;dijkstra;42;failure;0;0;49;49;0;0.0015;0.0016;0.0003;0.34;98464
30;10;10;0;0.75;0.5;10;10;random;diagonal;42;failure;0;0;49;49;0;0.0016;0.0017;0.0003;0.31;100468
31;10;10;0;0.75;0.75;10;10;random;dijkstra;42;success;3;3.8284;1;1;0;0.0016;0.0016;0.0;0.31;100572
32;10;10;0;0.75;0.75;10;10;random;diagonal;42;success;3;3.8284;4;11;0;0.0014;0.0015;0.0;0.30;100624
33;10;10;0;0.75;1;10;10;random;dijkstra;42;failure;0;0;339;339;0;0.0016;0.0017;0.0042;0.34;100328
34;10;10;0;0.75;1;10;10;random;diagonal;42;failure;0;0;339;339;0;0.0016;0.0016;0.0059;0.31;100432
35;10;10;1;0;0;10;10;random;dijkstra;42;success;1;1.4142;1;1;0;0.0018;0.002;0.0002;0.32;100284
36;10;10;1;0;0;10;10;random;diagonal;42;success;1;1.4142;2;10;0;0.0019;0.002;0.0002;0.31;98392
37;10;10;1;0;0;10;10;optimal;dijkstra;42;success;1;1.4142;1;1;0;0.0019;0.0022;0.0001;0.31;98260
38;10;10;1;0;0;10;10;optimal;diagonal;42;success;1;1.4142;2;10;0;0.0019;0.0022;0.0002;0.32;98376
39;10;10;1;0;0;25;10;random;dijkstra;42;success;1;1.4142;5;25;0;0.0019;0.0022;0.0014;0.33;98176
40;10;10;1;0;0;25;10;random;diagonal;42;success;1;1.4142;2;10;0;0.0019;0.0022;0.0002;0.32;100348
41;10;10;1;0;0;25;10;optimal;dijkstra;42;success;1;1.4142;1;1;0;0.0019;0.0022;0.0001;0.32;100020
42;10;10;1;0;0;25;10;optimal;diagonal;42;success;1;1.4142;2;10;0;0.0018;0.0022;0.0002;0.31;100288
43;10;10;1;0;0;50;10;random;dijkstra;42;success;1;1.4142;5;25;0;0.0019;0.0024;0.0014;0.31;95940
44;10;10;1;0;0;50;10;random;diagonal;42;success;1;1.4142;2;10;0;0.0019;0.0024;0.0002;0.34;100280
